qr_file,decoded_text,label,label_name
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_0_benign_images.png,https://data.worldbank.org/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_100_benign_images.png,https://www.notion.so/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_101_benign_images.png,https://www.freecodecamp.org/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_102_benign_images.png,https://www.hathitrust.org/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_103_benign_images.png,https://www.myfitnesspal.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_104_benign_images.png,https://us.etrade.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_105_benign_images.png,https://sleekng.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_106_benign_images.png,https://www.decorhubng.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_107_benign_images.png,https://www.jpl.nasa.gov/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_108_benign_images.png,https://gbanjodeals.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_109_benign_images.png,https://about.gitlab.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_10_benign_images.png,https://www.onenote.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_110_benign_images.png,https://www.ck12.org/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_111_benign_images.png,https://www.atlasobscura.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_112_benign_images.png,https://wwitv.com/television/237.htm,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_113_benign_images.png,https://neemans.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_114_benign_images.png,https://www.epa.gov/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_115_benign_images.png,https://www.everydayhealthyrecipes.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_116_benign_images.png,https://heimdalsecurity.com/blog/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_117_benign_images.png,https://www.wired.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_118_benign_images.png,https://lidiasitaly.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_119_benign_images.png,https://www.glassdoor.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_11_benign_images.png,https://www.wikipedia.org/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_120_benign_images.png,https://leitesculinaria.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_121_benign_images.png,https://unsplash.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_122_benign_images.png,https://www.expedia.co.in/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_123_benign_images.png,https://www.climate.gov/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_124_benign_images.png,https://www.nerdwallet.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_125_benign_images.png,https://www.ubereats.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_126_benign_images.png,https://pubmed.ncbi.nlm.nih.gov/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_127_benign_images.png,https://www.virustotal.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_128_benign_images.png,https://www.investing.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_129_benign_images.png,https://www.hippocampus.org/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_12_benign_images.png,https://www.codecademy.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_130_benign_images.png,https://www.hopkinsmedicine.org/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_131_benign_images.png,https://www.careerbuilder.com/,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_132_benign_images.png,https://www.who.int/data/gho,0,benign
1000 QR Images of Malicious and Benign QR codes 2025/benign_qr_images_500/qr_133_benign_images.png,https://www.topcoder.com/,0,benign
